A,B,C,D,E,F,G
3,8,20,33,43,89,86
2,25,29,41,52,72,59
5,6,17,68,78,80,10
1,23,33,62,66,70,34
25,32,35,38,64,84,14
14,17,49,79,80,89,66
1,5,8,64,68,72,2
10,12,50,52,55,70,82
4,33,45,64,71,79,58
4,18,23,36,74,88,61
2,23,44,47,52,66,11
9,46,54,61,73,77,86
24,28,42,54,70,76,7
14,16,23,30,65,80,28
31,34,41,45,51,90,47
3,26,50,51,73,83,72
14,33,38,41,66,82,28
20,30,31,36,41,63,46
1,18,33,39,50,51,27
4,25,35,50,64,68,46
37,59,60,63,73,82,61
9,10,19,52,65,80,12
6,34,39,56,76,90,25
3,17,54,61,65,74,55
38,43,48,50,79,88,49
16,20,22,27,45,90,38
9,33,66,71,79,90,83
33,46,52,54,66,82,40
13,51,52,53,58,78,16
3,12,18,30,31,81,20
6,19,28,50,51,90,29
9,22,34,45,67,85,66
5,10,19,31,83,90,43
5,54,72,80,86,89,58
1,47,50,56,81,83,30
12,16,41,61,69,90,38
2,6,17,52,63,67,43
9,18,27,52,54,73,22
3,7,27,53,62,74,79
14,26,29,67,70,77,13
3,34,37,56,64,67,72
1,9,42,49,67,73,77
19,40,52,64,68,72,32
3,24,31,72,85,87,12
4,42,46,57,67,82,40
4,9,24,50,68,80,79
2,45,50,61,72,89,83
3,17,37,44,62,90,51
5,28,36,54,55,66,34
22,42,47,51,56,59,66
12,32,44,52,68,82,31
4,30,60,65,71,85,70
27,37,42,49,59,75,87
6,19,42,46,72,88,43
22,34,46,70,79,84,16
15,51,68,82,83,88,1
3,8,21,35,67,83,89
10,16,27,63,65,89,74
7,13,26,55,83,90,22
2,5,29,30,65,81,54
14,15,24,42,63,87,41
3,41,43,44,83,85,73
1,5,19,36,47,62,86
22,35,57,82,86,89,23
9,13,31,56,80,85,64
7,27,31,52,73,85,74
11,34,53,69,78,79,72
24,25,41,43,49,58,31
10,12,30,45,51,54,59
27,43,46,73,75,77,54
17,24,36,42,44,59,6
21,31,38,71,80,88,6
33,49,57,60,63,69,73
8,15,31,54,58,60,79
50,56,61,69,82,84,53
20,28,50,57,69,79,21
13,31,42,63,66,79,76
9,21,24,30,48,88,67
11,53,66,71,73,87,65
31,32,48,53,62,70,43
3,12,25,47,50,69,38
5,39,45,51,76,87,81
19,25,42,45,47,86,85
6,18,38,42,57,67,13
14,18,20,29,34,83,47
12,20,30,33,46,89,74
4,33,64,72,81,84,34
7,13,33,35,38,79,89
11,25,27,31,47,83,37
16,31,41,65,67,81,64
4,16,35,48,54,77,21
10,19,26,29,45,67,90
2,20,23,35,67,68,1
3,21,26,28,54,73,2
10,24,39,80,82,88,46
29,42,54,66,79,87,27
25,30,36,60,71,88,11
12,36,54,68,72,86,90
2,12,17,31,63,72,48
1,13,46,59,71,87,78
11,17,30,49,54,61,78
14,20,48,70,75,78,57
4,14,37,64,68,84,78
7,13,24,38,71,74,90
11,20,44,55,76,82,46
10,19,28,29,44,58,23
4,21,41,52,56,69,84
11,14,23,29,55,88,41
26,61,62,68,75,82,47
26,36,55,76,79,90,17
25,51,65,76,82,88,68
11,19,38,77,79,90,47
32,43,66,68,71,73,51
3,21,47,49,62,80,42
50,55,63,69,79,83,18
14,20,53,69,77,79,16
22,24,39,43,48,83,66
16,30,47,52,76,90,51
3,17,21,29,57,90,30
5,12,24,53,69,90,75
13,25,42,54,60,90,44
7,19,21,37,59,76,3
7,44,55,61,63,71,81
16,22,29,58,78,81,55
3,8,51,59,74,75,5
10,21,33,77,83,87,79
17,18,40,47,73,87,43
2,5,8,33,43,50,51
5,11,23,36,56,68,65
9,39,44,75,77,82,67
1,28,41,66,82,89,39
1,10,26,55,59,88,8
33,40,48,52,64,82,73
25,26,45,49,63,82,62
18,38,55,61,67,71,88
26,48,58,62,78,84,1
19,32,37,54,55,74,36
3,7,26,52,59,65,89
17,65,69,70,86,87,42
1,3,29,34,45,84,77
4,11,25,57,66,72,21
6,9,10,21,47,83,49
9,52,61,67,75,89,38
1,22,25,39,54,56,2
15,21,45,48,57,89,51
53,63,68,77,84,90,61
6,45,54,64,76,78,9
32,41,44,70,84,88,73
6,18,22,44,57,83,52
32,51,54,58,59,89,63
2,10,37,48,52,72,13
2,14,23,46,51,71,64
28,48,54,62,80,82,32
17,36,39,45,48,55,83
2,30,32,35,70,77,17
23,31,38,62,81,85,43
11,56,62,79,84,86,16
10,13,24,35,38,73,69
9,17,29,57,64,90,6
23,35,36,47,52,77,70
7,30,36,51,70,72,84
19,32,56,61,73,87,8
6,33,58,61,71,87,35
34,43,54,69,70,71,75
15,35,58,59,68,80,34
29,34,37,41,68,87,76
7,39,41,42,43,78,52
21,35,71,85,86,89,6
7,11,25,27,51,83,20
1,24,29,39,40,60,73
5,38,39,69,73,90,18
17,18,21,23,37,46,62
2,29,33,55,67,79,45
1,2,15,19,36,61,53
3,7,48,56,66,87,4
19,22,33,54,79,80,87
12,39,40,55,58,68,37
14,49,54,58,71,85,37
2,37,39,46,49,65,58
2,6,10,64,76,84,65
19,49,57,63,71,74,34
7,9,20,41,51,84,27
17,26,38,78,82,88,6
4,12,17,71,87,90,70
43,53,55,71,88,90,48
9,18,25,33,35,79,36
11,15,39,41,59,76,71
9,13,47,64,78,89,52
10,23,49,52,66,71,7
2,24,30,73,83,84,51
30,35,38,40,58,79,64
7,43,52,82,84,85,58
22,27,29,43,50,70,64
2,9,20,53,60,86,11
13,24,48,49,62,67,80
5,9,13,15,60,74,2
5,9,13,27,60,83,52
4,11,13,16,67,70,39
7,27,54,62,64,88,20
6,11,12,16,20,56,57
9,22,27,30,54,71,52
15,16,42,65,76,89,59
8,14,30,39,61,90,53
44,58,64,69,76,78,17
11,33,36,37,60,89,48
9,26,28,59,60,69,18
4,27,29,36,49,54,45
9,35,46,62,69,86,57
13,20,23,24,25,65,3
6,15,73,77,81,88,85
38,53,58,66,70,81,41
1,2,39,69,75,85,29
19,22,36,53,55,85,47
4,31,39,63,82,90,7
13,20,41,43,62,65,89
14,16,34,50,67,79,5
3,11,27,29,40,44,38
7,8,35,49,69,77,36
3,36,43,48,49,53,69
8,19,56,66,75,89,4
1,9,11,77,78,81,20
1,2,16,24,47,54,66
41,47,54,62,79,82,45
8,19,47,61,76,82,21
12,19,58,60,74,76,46
17,33,60,70,76,78,23
5,24,27,45,53,54,77
13,20,31,42,58,62,82
52,59,62,75,79,84,40
2,36,41,46,55,66,35
3,10,22,33,53,89,76
12,19,40,44,45,78,6
11,42,48,55,76,88,90
26,30,44,50,63,67,83
11,30,38,44,46,69,86
27,49,51,57,74,81,35
10,23,49,68,78,89,15
5,21,36,58,61,68,57
5,9,45,56,74,80,54
1,8,31,32,52,69,90
9,17,26,41,49,55,5
23,37,51,61,64,74,90
1,7,21,22,30,79,50
14,29,42,48,75,84,33
6,8,23,51,73,90,70
41,55,61,66,74,79,62
2,5,34,61,62,71,64
36,47,59,64,71,81,31
8,13,14,19,41,68,59
14,15,44,47,59,66,71
30,56,62,81,86,90,17
20,36,70,71,77,90,81
29,35,36,51,52,88,57
6,32,53,64,83,88,36
18,26,49,59,73,84,50
14,39,40,51,73,90,67
17,22,32,39,48,90,24
16,26,46,57,81,86,37
3,18,29,32,41,89,22
8,9,10,22,30,49,53
8,11,35,39,45,51,54
1,41,63,67,69,80,29
15,29,31,38,53,66,69
5,13,23,26,53,84,60
16,22,30,36,77,90,26
1,4,25,71,78,86,81
5,16,30,55,64,83,23
4,12,18,23,41,74,71
11,30,36,51,52,80,12
9,38,41,53,60,75,65
3,32,59,60,69,73,58
9,20,34,36,69,89,65
8,24,52,58,59,71,25
23,45,49,59,62,78,19
4,43,49,75,80,87,65
21,24,52,73,75,84,7
1,7,42,50,79,86,11
19,31,42,51,54,89,20
33,42,53,59,71,72,27
8,20,30,38,82,85,26
5,34,68,69,75,88,47
17,20,49,56,66,89,40
1,13,18,30,80,82,53
19,32,58,69,73,78,40
2,3,34,44,72,78,5
26,40,50,52,70,77,11
10,14,29,32,67,84,22
22,23,45,66,81,85,7
2,6,48,77,78,89,38
3,27,36,45,75,88,61
31,32,74,75,79,86,63
41,45,47,68,79,85,60
1,2,51,59,70,90,39
10,16,19,29,81,84,71
45,50,52,60,81,83,80
34,40,46,53,61,73,18
48,50,56,60,68,76,79
4,7,54,63,65,68,30
24,38,45,62,64,78,41
4,18,34,66,79,86,54
1,2,22,33,44,72,25
32,44,51,66,86,89,77
15,24,34,44,52,73,37
12,20,31,48,57,82,53
7,20,62,74,84,85,72
2,21,26,28,72,82,1
2,16,55,57,67,87,39
32,51,53,57,74,85,25
13,18,35,69,81,83,64
31,33,48,57,65,76,20
10,18,52,63,81,87,49
15,40,41,52,57,71,64
10,23,55,63,72,85,8
12,32,37,41,85,86,4
18,23,35,56,58,65,31
2,18,45,74,76,79,86
20,23,65,69,78,85,34
14,25,26,36,53,76,39
14,16,57,62,70,74,40
32,67,71,74,79,89,77
1,9,22,58,79,89,30
15,22,46,64,65,87,21
1,8,13,20,39,42,25
4,15,17,44,62,71,77
9,18,46,58,67,80,1
2,26,29,32,34,70,61
8,13,36,45,87,90,55
12,31,32,39,66,74,35
9,17,23,58,74,89,52
7,11,32,39,57,59,8
15,24,70,79,80,88,16
4,27,40,58,70,90,54
22,48,75,84,88,89,41
5,6,8,12,56,90,50
7,28,32,38,81,83,86
3,12,35,61,85,89,57
15,32,48,53,60,78,70
15,20,28,41,71,89,90
8,31,52,54,60,87,24
4,17,18,22,25,49,77
21,35,51,58,77,80,72
4,6,13,51,59,89,10
6,14,32,42,73,76,90
20,50,54,64,72,80,39
1,2,8,19,89,90,37
3,15,26,61,63,88,53
8,55,56,66,72,90,59
2,16,34,57,73,78,68
3,30,39,50,63,75,57
31,37,46,68,77,79,19
3,26,37,60,67,83,87
19,27,40,48,84,85,62
3,13,36,55,66,85,47
12,13,23,39,40,70,64
6,25,32,45,65,78,2
24,26,34,51,70,85,35
32,40,45,52,56,65,48
6,23,31,58,61,77,17
14,24,34,45,63,79,9
3,19,36,44,58,66,81
19,33,35,49,62,86,31
25,40,46,51,54,60,56
37,52,55,56,82,87,61
10,15,44,47,49,83,20
5,29,32,38,57,67,62
11,17,21,26,48,80,15
7,9,19,69,71,72,48
18,40,44,57,59,89,69
6,16,34,45,63,73,80
2,19,68,69,75,83,61
6,7,18,55,70,77,74
44,45,58,68,73,90,2
14,22,35,47,49,60,77
4,42,66,73,78,88,34
6,33,51,60,85,86,78
26,41,49,65,74,88,20
6,15,21,33,62,80,74
10,25,39,41,56,79,65
3,18,21,63,66,78,20
6,12,14,25,35,79,60
15,17,26,32,45,86,25
10,11,33,62,65,75,27
31,51,56,58,67,86,35
2,8,10,29,30,49,37
9,22,34,37,64,75,8
5,7,34,53,69,74,41
9,15,33,54,76,78,32
1,28,37,38,52,63,7
10,14,21,22,62,71,26
18,59,61,78,80,83,75
9,19,36,49,65,69,2
42,44,54,65,66,83,46
2,10,60,67,71,76,59
34,58,60,63,83,88,32
3,7,16,25,43,75,23
6,12,25,26,59,67,79
19,23,43,48,68,82,10
20,21,45,55,69,77,10
5,17,22,24,32,52,29
34,58,64,67,75,76,79
22,24,48,52,76,89,27
6,16,18,42,67,86,7
11,16,36,49,66,78,22
6,31,34,66,85,86,54
15,20,40,46,60,64,88
7,43,56,61,68,83,1
1,4,10,68,86,88,15
9,21,30,60,61,83,33
3,20,51,71,81,86,33
18,32,58,76,86,89,13
11,51,52,62,82,85,29
12,13,21,29,38,63,48
11,31,55,65,74,79,34
3,11,27,29,52,69,12
6,18,22,39,57,83,89
2,19,26,32,69,81,47
18,31,48,68,69,87,30
3,29,30,40,41,57,14
6,7,11,42,49,86,32
24,41,56,58,64,71,9
3,12,33,61,64,73,21
4,31,47,57,75,77,14
22,37,53,74,83,89,2
3,17,26,30,74,87,61
22,35,62,63,66,75,9
18,20,24,45,50,53,90
6,10,13,20,49,56,27
18,19,30,38,50,85,33
21,22,25,42,43,55,23
6,36,39,59,63,79,85
4,13,31,48,52,76,80
31,36,49,54,56,66,47
15,18,30,70,78,89,44
19,22,35,45,47,58,67
18,24,31,33,44,48,27
1,2,9,27,59,81,30
38,48,49,63,71,76,4
8,24,29,40,72,73,64
20,51,65,68,70,77,56
16,34,42,60,69,74,87
14,18,38,41,79,87,86
4,37,50,54,77,90,22
5,9,17,36,52,78,12
11,30,36,50,68,76,2
5,14,23,25,31,89,85
12,15,46,53,71,75,18
3,9,12,19,21,44,23
27,28,41,50,66,81,53
28,42,56,62,72,89,1
18,28,42,49,86,89,27
14,31,49,74,81,85,57
25,31,38,47,58,68,21
2,37,55,60,87,89,19
17,21,25,40,52,76,82
16,24,30,39,58,88,87
15,16,39,48,56,81,76
3,37,43,52,61,66,53
3,8,39,41,68,72,19
3,11,54,65,74,77,63
7,15,19,23,74,78,21
16,17,25,53,76,90,23
4,31,52,56,67,74,17
7,9,55,71,84,86,75
5,18,35,48,49,63,45
58,67,69,77,79,90,43
8,26,28,34,45,50,77
7,18,40,56,82,87,49
15,48,50,84,86,87,52
23,45,47,70,84,88,83
15,29,60,63,75,79,70
22,42,49,59,74,90,84
7,40,45,53,73,78,86
5,28,31,67,74,89,41
4,32,47,65,74,87,79
31,33,37,45,56,80,26
5,26,33,53,69,83,52
11,42,68,70,84,85,87
8,30,45,65,70,89,29
10,15,36,37,73,85,4
2,10,28,29,59,79,19
18,60,64,70,75,83,74
10,39,49,66,77,86,60
10,21,28,29,63,72,15
8,23,42,50,73,75,68
6,12,25,64,77,82,34
23,28,48,50,57,74,85
9,25,27,36,53,56,75
17,24,25,41,67,83,7
10,17,39,50,74,75,70
30,41,54,73,74,76,24
11,24,35,36,49,89,55
23,27,36,39,47,87,52
6,22,46,76,77,90,14
22,26,65,76,80,84,59
22,37,47,70,77,88,20
44,45,48,50,80,90,46
5,34,46,54,79,85,48
22,42,49,51,78,86,34
11,24,26,45,61,83,9
24,30,47,51,88,90,50
9,14,51,55,76,78,66
1,12,27,29,61,88,42
1,5,22,25,31,46,76
32,36,51,66,73,86,17
30,37,39,58,69,82,17
1,8,36,38,82,83,45
12,27,30,31,50,81,77
21,35,41,53,57,78,6
17,36,45,57,69,74,10
5,42,62,64,71,80,48
16,18,34,40,78,89,82
32,46,49,64,67,83,88
31,33,54,79,85,87,83
12,30,34,41,45,65,43
5,6,8,16,79,83,44
29,31,38,55,76,78,46
14,15,51,53,57,71,50
18,34,42,43,80,88,55
19,20,32,38,62,87,85
3,22,36,45,51,58,47
12,24,28,31,81,90,40
6,13,23,43,57,77,53
32,41,47,48,57,71,75
24,47,50,66,67,86,40
1,33,34,45,66,86,52
16,34,69,74,85,90,78
29,31,32,52,86,87,42
10,44,58,63,82,83,66
11,25,50,54,58,64,82
4,10,24,40,54,81,64
8,27,43,49,75,87,61
12,40,42,83,86,87,65
16,40,44,48,50,65,9
1,4,22,45,64,83,67
3,37,42,59,61,81,19
13,46,54,67,70,78,85
28,46,70,75,77,82,48
24,40,52,76,77,89,54
3,21,25,49,76,82,13
7,16,19,20,40,89,56
14,22,32,34,44,88,66
13,14,15,17,44,54,37
39,78,79,80,81,82,18
2,4,5,6,32,35,3
2,7,32,47,66,83,48
17,38,45,48,65,86,43
3,20,36,46,86,89,43
8,17,27,32,35,72,77
9,16,21,69,82,86,17
13,39,43,45,47,71,40
10,17,36,43,78,85,58
23,47,67,79,82,83,31
10,40,55,56,85,86,22
1,47,48,55,59,78,29
1,27,30,67,74,89,16
9,11,34,53,60,74,14
1,6,15,29,34,76,22
4,14,44,59,62,80,3
19,20,24,35,57,67,15
8,14,27,51,69,89,54
13,38,40,44,58,80,67
17,46,63,64,72,87,29
7,22,30,64,86,87,80
43,55,57,58,59,90,80
13,17,51,63,74,80,61
1,8,11,13,24,46,56
6,14,34,55,71,84,52
1,8,14,30,40,48,67
19,22,48,65,67,74,86
5,58,59,78,85,90,39
6,36,49,57,69,89,12
2,36,38,50,55,64,43
4,14,34,54,61,84,19
24,26,32,35,36,53,88
21,40,73,76,80,86,25
21,23,69,80,81,90,9
10,24,35,71,76,83,53
22,32,38,54,66,77,60
43,56,64,71,74,79,25
13,36,54,61,64,77,19
5,10,17,39,42,64,33
1,41,49,53,71,89,80
16,32,64,65,71,73,66
5,8,10,43,60,82,81
2,12,18,25,53,66,49
6,15,28,34,49,79,20
13,21,46,59,71,89,68
3,15,20,29,44,50,55
41,46,51,75,77,78,5
17,22,32,87,88,90,80
9,12,17,38,39,44,60
17,33,37,53,83,84,51
30,39,51,71,80,85,15
19,27,33,58,63,86,85
29,34,45,54,74,83,30
8,24,38,55,68,87,17
9,52,57,67,88,89,23
2,8,19,39,49,90,42
5,18,25,30,46,55,73
19,22,42,44,71,77,31
38,47,65,68,75,90,60
4,28,33,35,38,79,55
3,30,39,50,59,76,55
3,31,37,45,56,61,15
3,16,38,50,80,84,36
1,2,3,12,73,81,17
5,33,59,70,76,78,54
2,31,51,73,77,86,8
27,29,32,55,63,67,20
5,18,42,45,55,69,12
14,21,34,66,73,80,36
3,4,25,64,68,74,57
3,31,40,47,78,90,37
4,32,41,50,78,88,35
39,41,44,81,82,86,10
9,19,22,63,77,79,42
25,48,56,59,61,69,21
14,29,45,56,86,89,58
16,20,22,43,47,67,9
1,17,47,58,60,88,30
1,14,42,60,76,86,30
4,40,56,57,66,88,7
21,32,58,81,89,90,78
31,60,66,72,74,89,39
21,26,36,79,86,90,17
62,67,69,78,84,87,80
2,3,18,36,45,79,6
13,23,26,34,37,81,39
25,49,67,76,81,82,89
14,24,35,36,40,51,11
16,20,25,35,36,68,39
9,33,46,51,66,71,35
5,6,32,35,53,83,34
11,42,58,70,84,86,65
2,16,40,64,66,84,14
27,40,43,49,64,84,31
1,5,32,66,73,83,40
2,4,11,12,41,53,67
21,27,61,65,76,88,78
7,18,40,52,80,89,68
14,16,19,39,45,85,9
4,5,23,26,63,87,60
9,15,41,45,74,88,76
8,18,45,53,57,66,89
15,23,33,55,61,74,28
2,8,24,78,86,87,54
1,27,41,57,71,76,51
9,26,28,74,77,84,89
3,11,55,76,78,83,1
3,20,24,33,57,83,34
15,21,25,50,66,70,45
13,14,40,41,79,87,24
12,41,49,50,62,76,87
4,38,64,65,70,83,10
4,25,28,59,61,69,83
9,18,34,44,66,76,89
25,27,40,67,81,88,17
7,34,40,46,50,79,63
37,47,57,80,88,90,77
18,22,55,70,75,77,35
22,36,38,46,50,78,15
3,17,29,35,58,88,40
28,37,39,62,73,82,13
11,32,68,70,81,86,49
16,20,22,41,47,83,70
8,41,42,62,79,87,44
15,26,45,61,67,87,35
6,41,48,60,87,89,16
1,34,36,49,54,69,83
2,21,37,68,78,84,64
30,51,58,62,87,89,8
18,30,31,40,52,69,4
14,23,36,42,66,68,11
5,27,38,70,75,85,45
14,22,30,40,76,88,17
2,27,36,45,61,75,60
3,18,28,36,70,83,56
16,28,32,57,74,82,45
10,14,21,36,43,81,7
33,36,74,76,83,84,25
11,14,30,43,60,87,29
8,28,35,72,88,89,84
19,68,73,81,86,90,46
20,29,51,74,75,80,56
7,39,58,62,75,79,68
2,32,35,48,59,66,19
25,32,58,73,76,85,70
8,24,39,45,80,82,5
1,7,44,55,72,84,51
30,46,51,57,60,81,53
16,28,41,73,80,85,31
3,34,38,59,78,79,72
5,11,19,31,63,70,85
15,16,27,40,43,51,35
34,45,58,67,78,82,87
4,10,17,28,32,36,90
16,27,51,53,55,64,29
13,16,20,80,82,88,30
2,9,20,38,62,72,5
3,42,64,65,66,76,45
20,32,35,77,84,89,90
18,36,40,48,64,83,63
7,12,31,59,64,82,87
32,36,38,70,84,87,59
11,13,51,61,86,90,85
18,34,54,62,63,76,28
2,11,15,16,35,64,20
5,42,47,51,65,75,63
7,34,49,58,60,79,24
1,4,37,38,45,47,41
23,29,34,67,72,83,55
17,34,40,57,66,69,76
1,23,31,41,42,77,43
2,5,10,55,71,79,14
5,26,34,46,54,62,88
13,34,35,51,76,85,88
22,23,50,75,82,85,60
6,58,65,77,79,81,30
5,6,25,29,30,32,51
4,6,19,43,68,81,73
14,26,40,61,82,87,18
10,25,68,71,76,83,69
28,37,69,75,76,90,45
20,45,59,68,69,83,12
4,42,48,50,66,79,62
4,8,42,51,62,78,1
1,12,30,31,41,90,76
24,38,46,50,52,81,6
2,7,10,16,28,73,84
3,15,68,71,75,78,38
9,36,46,52,64,84,20
4,31,39,66,83,89,17
8,13,15,26,74,81,69
15,21,28,71,80,89,68
9,14,52,55,66,82,16
3,10,33,39,47,65,73
26,34,36,38,48,87,63
8,45,50,52,66,90,62
8,14,29,45,49,71,79
5,21,23,59,60,74,66
27,37,67,69,76,81,64
24,41,49,56,62,71,6
17,29,44,47,84,87,21
6,20,29,57,71,84,77
3,34,35,44,45,48,87
14,41,51,68,70,77,23
37,42,46,50,53,65,89
19,24,35,54,61,69,40
18,37,62,68,78,87,6
16,25,35,57,59,62,68
22,23,40,46,52,79,11
23,26,28,60,61,78,58
14,16,17,28,30,75,32
11,24,73,84,86,90,68
16,17,28,38,39,59,78
21,42,51,55,74,81,70
4,15,22,28,46,77,76
12,26,34,36,60,87,82
22,39,47,65,78,82,76
14,28,47,49,61,85,82
2,12,44,52,61,64,11
7,12,13,35,39,86,52
3,5,41,51,53,72,1
58,65,70,73,77,83,26
13,29,36,56,58,85,39
27,48,51,62,85,90,4
12,18,57,68,69,80,42
41,45,46,52,63,84,30
5,6,35,52,66,78,55
7,43,49,64,68,79,9
11,48,50,63,85,87,17
20,21,49,57,75,83,77
8,11,22,23,32,52,16
3,25,27,29,48,65,39
6,39,42,55,66,76,65
9,10,36,40,43,83,22
25,35,39,61,71,90,7
18,58,81,84,85,88,50
13,19,43,65,66,90,85
17,29,50,51,63,69,80
5,38,51,53,56,69,61
15,42,59,62,66,84,81
2,31,41,53,63,85,87
28,38,63,64,83,86,27
3,22,34,39,74,77,57
15,48,70,71,73,82,46
16,19,23,38,46,64,82
13,23,28,33,39,51,89
12,17,52,55,84,85,42
3,24,30,46,67,87,73
4,5,6,61,62,77,64
2,10,16,38,73,81,36
1,24,33,76,77,78,37
12,30,31,47,55,76,2
9,10,18,59,64,67,16
12,19,25,30,46,80,4
33,37,52,67,71,73,57
19,31,34,64,78,81,35
52,53,60,81,85,86,54
21,43,45,53,85,89,77
1,15,54,64,77,79,21
1,2,18,40,49,76,90
17,28,60,63,66,88,32
1,13,20,29,64,89,82
15,29,40,45,51,61,60
22,34,46,49,71,78,88
10,13,42,47,69,90,53
9,49,57,59,67,72,51
3,4,14,26,59,86,5
42,53,62,67,89,90,54
25,31,44,55,57,83,77
1,12,47,55,73,80,63
12,21,42,45,57,60,39
1,10,59,66,68,76,46
3,41,64,70,72,74,56
4,22,24,26,27,41,64
15,47,64,69,71,79,23
5,10,42,52,53,90,84
59,64,75,81,83,86,60
28,45,51,60,74,88,86
11,35,56,68,74,78,55
7,32,52,66,84,85,17
16,28,45,50,75,83,87
26,29,35,42,57,78,75
23,25,33,38,63,75,34
19,37,39,46,75,88,81
16,27,56,65,80,84,38
22,34,55,60,61,63,7
4,9,31,38,81,86,61
11,37,56,61,76,78,24
10,36,58,62,76,86,42
1,5,12,22,24,56,50
23,38,47,52,60,63,84
5,42,50,57,58,74,17
44,54,56,61,67,90,76
5,40,45,61,66,72,88
9,26,51,63,73,80,87
2,38,43,47,50,83,37
11,15,37,43,80,88,34
7,18,24,29,53,65,66
24,43,47,51,54,55,34
3,13,26,37,70,85,56
3,8,37,39,72,83,20
51,52,61,63,72,83,13
23,40,60,71,73,75,44
26,30,52,54,78,86,15
40,45,53,82,87,88,13
1,14,19,53,64,66,75
1,11,15,19,26,88,37
9,37,46,72,77,89,61
10,14,57,69,72,80,5
59,62,63,64,77,86,38
6,25,42,48,59,67,9
3,24,37,49,52,62,71
8,41,44,50,68,79,55
7,17,35,45,61,73,76
24,44,60,71,78,87,32
5,15,17,36,43,60,35
1,3,13,34,40,48,36
20,21,52,59,66,81,83
19,36,45,83,87,88,66
10,14,39,45,46,71,17
7,28,40,45,51,58,88
4,29,55,63,78,81,15
23,49,60,65,69,76,8
21,37,44,72,76,77,6
26,65,70,76,88,89,2
12,28,56,57,75,90,79
9,16,30,32,35,39,11
13,14,36,81,82,83,9
1,8,28,33,43,85,26
20,31,37,51,60,69,26
3,7,40,41,70,83,45
30,39,43,59,76,81,63
7,32,42,48,88,89,8
5,6,26,35,39,40,13
16,35,36,43,49,88,33
12,25,32,54,67,74,41
2,3,13,35,68,86,51
5,12,31,77,83,87,19
2,9,14,30,43,88,17
7,15,61,79,81,89,28
11,40,49,60,65,68,56
47,56,63,64,68,89,3
6,29,35,39,62,73,18
13,50,59,60,70,87,69
5,11,17,29,33,80,76
2,9,11,37,42,69,43
6,27,38,42,70,80,75
5,20,30,54,60,90,1
4,14,33,46,74,87,43
5,14,39,45,49,55,25
16,35,47,56,59,61,71
12,34,40,59,64,88,19
12,14,16,24,34,68,27
9,15,27,80,84,88,14
3,12,41,64,81,85,74
6,18,23,43,45,52,7
5,19,21,38,76,79,68
23,59,67,79,81,82,55
3,8,37,73,78,82,44
13,25,39,54,65,89,72
4,21,22,56,63,68,14
7,34,43,68,71,79,33
6,37,41,56,71,73,29
11,18,33,35,66,88,81
11,26,65,68,78,88,33
6,25,29,45,76,85,54
18,22,24,34,80,81,5
34,36,55,58,69,73,3
2,36,54,58,60,72,67
2,40,47,71,76,83,73
7,17,29,37,54,73,50
2,3,30,32,46,58,66
25,26,50,58,65,71,80
31,66,71,73,84,86,16
5,18,24,64,81,84,66
13,19,30,50,60,68,3
49,68,74,81,82,85,18
5,14,27,67,85,89,77
13,20,62,67,82,87,5
1,29,31,39,40,90,88
22,62,67,71,78,87,7
15,32,50,63,69,70,4
2,34,46,53,67,78,81
4,20,22,39,58,63,31
6,9,26,41,67,90,54
10,27,47,55,77,87,30
2,19,20,43,50,54,15
8,16,20,32,48,73,67
62,70,74,76,80,81,69
2,27,45,58,61,74,71
51,54,59,80,82,88,63
1,5,15,72,74,87,26
31,50,52,53,57,88,72
21,71,72,74,78,80,22
40,53,62,85,87,90,20
12,18,56,57,78,89,37
29,31,43,52,81,83,68
2,7,44,48,54,88,83
14,25,26,32,37,83,10
1,7,12,31,39,66,44
17,21,44,49,60,71,62
1,5,20,49,51,82,85
5,7,10,12,14,44,11
26,40,48,66,74,80,50
17,38,51,66,79,81,60
2,29,44,47,60,69,71
1,12,25,26,34,63,50
7,41,47,55,78,85,30
7,25,55,66,70,88,65
9,12,16,49,50,65,18
5,36,47,51,55,56,35
45,64,75,82,89,90,63
9,52,74,75,81,88,89
20,35,69,80,86,88,83
5,12,35,55,69,76,65
2,15,37,49,52,79,56
8,13,26,71,79,85,75
23,50,60,61,76,89,33
4,9,39,47,48,51,19
5,21,31,35,58,66,86
21,34,58,60,64,83,55
12,16,23,40,65,80,9
8,18,29,40,81,90,10
19,30,40,64,65,85,82
20,29,30,49,50,76,64
12,27,39,48,54,61,19
3,18,27,64,73,87,78
24,30,62,63,70,88,89
11,44,45,67,72,82,53
3,7,8,54,58,68,45
17,36,43,46,58,90,72
7,11,18,36,65,74,50
20,26,30,34,72,89,59
17,45,54,73,78,85,74
9,24,31,41,59,64,8
7,33,52,71,74,82,43
6,18,40,60,87,88,1
10,22,27,53,56,68,36
8,20,21,28,40,67,49
36,66,76,80,84,85,11
15,34,64,68,74,86,1
7,13,18,64,70,90,15
52,68,70,76,82,88,6
19,20,41,62,66,86,25
1,17,30,54,81,84,70
19,26,49,57,83,86,22
8,13,17,59,64,65,77
28,35,55,62,70,78,27
38,56,64,70,73,78,51
12,13,25,68,73,88,31
4,8,11,64,77,89,20
12,22,46,50,71,75,69
18,19,34,43,57,74,20
6,7,11,14,53,64,43
5,23,33,58,68,85,67
19,30,32,42,69,74,26
2,20,22,45,81,85,43
